wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),bandwidth (nm)
207.4,0.011966632632050514,1.5556621656287462E-4,1.0
207.5,0.012152288135529756,1.5797973901499063E-4,1.0
207.6,0.01232559524519205,1.6023273929022253E-4,1.0
207.7,0.012485924552614689,1.623170101083815E-4,1.0
207.8,0.012637192376872301,1.642834977246821E-4,1.0
207.9,0.012787920708196163,1.662429713178426E-4,1.0
208.0,0.01295049790284276,1.6835646238178015E-4,1.0
208.1,0.013139210532946586,1.7080974066630006E-4,1.0
208.2,0.013368005489906073,1.7378406482748687E-4,1.0
208.3,0.013648302040818931,1.7742792260833085E-4,1.0
208.4,0.013987213499922753,1.8183377687819302E-4,1.0
208.5,0.014386608111265898,1.870259002316743E-4,1.0
208.6,0.01484377841956973,1.9296910613775253E-4,1.0
208.7,0.01535237039694786,1.9958079792559147E-4,1.0
208.8,0.015903682222191094,2.067478490062058E-4,1.0
208.9,0.016488122909810544,2.143455931218341E-4,1.0
209.0,0.01709605152126789,2.22248665522784E-4,1.0
209.1,0.017718396582788228,2.3033915203996003E-4,1.0
209.2,0.01834740538110137,2.385162515565753E-4,1.0
209.3,0.018977283362474444,2.4670467246323824E-4,1.0
209.4,0.019605063315771817,2.5486579397693276E-4,1.0
209.5,0.02023107493111968,2.630039525683969E-4,1.0
209.6,0.020858894846856595,2.7116562705487013E-4,1.0
209.7,0.021493798105001446,2.79419356957078E-4,1.0
209.8,0.022140909888424872,2.8783181915059686E-4,1.0
209.9,0.022801898628977538,2.9642466688528657E-4,1.0
210.0,0.023472618223557472,3.051440289709717E-4,1.0
210.1,0.024142328766539097,3.1385026522912085E-4,1.0
210.2,0.024793336887817385,3.2231336808763444E-4,1.0
210.3,0.025405071921640633,3.3026590244844556E-4,1.0
210.4,0.025959450864118338,3.374728257767856E-4,1.0
210.5,0.026447172457448244,3.4381324076093733E-4,1.0
210.6,0.026873271969012024,3.4935251460410655E-4,1.0
210.7,0.027259888590313194,3.5437854239717126E-4,1.0
210.8,0.027644077493412494,3.593729925341904E-4,1.0
210.9,0.028071106131695507,3.6492437357082963E-4,1.0
211.0,0.028584103968032598,3.715933416970074E-4,1.0
211.1,0.0292130728039062,3.797699464485049E-4,1.0
211.2,0.029965305784531833,3.8954897900111973E-4,1.0
211.3,0.030819862591592074,4.0065820212475955E-4,1.0
211.4,0.03172665030712724,4.12446417612955E-4,1.0
211.5,0.03261020985468149,4.2393270996399224E-4,1.0
211.6,0.03337943686272025,4.3393264058977365E-4,1.0
211.7,0.033941528556028604,4.412398557178676E-4,1.0
211.8,0.034219697107036116,4.448560648597777E-4,1.0
211.9,0.03417141248946548,4.4422835344448686E-4,1.0
212.0,0.0338018698204565,4.3942430056631565E-4,1.0
212.1,0.03316828532281637,4.3118768371641636E-4,1.0
212.2,0.032371584137595895,4.2083056177943945E-4,1.0
212.3,0.03153560986492038,4.099629004485905E-4,1.0
212.4,0.030779110893874168,4.0012842509895563E-4,1.0
